SerialNo,Location,DateTime,Variable,Value
20154258,Piti LL,10/24/40 05:10:00 AM,Temp_C,29.652
20154258,Piti LL,10/24/40 05:20:00 AM,Temp_C,29.752
20154258,Piti LL,10/24/40 05:30:00 AM,Temp_C,29.853
20154258,Piti LL,10/24/40 05:40:00 AM,Temp_C,30.054
20154258,Piti LL,10/24/40 05:50:00 AM,Temp_C,29.953
20154258,Piti LL,10/24/40 06:00:00 AM,Temp_C,29.853
20154258,Piti LL,10/24/40 06:10:00 AM,Temp_C,30.054
20154258,Piti LL,10/24/40 06:20:00 AM,Temp_C,30.154
20154258,Piti LL,10/24/40 06:30:00 AM,Temp_C,30.154
20154258,Piti LL,10/24/40 06:40:00 AM,Temp_C,30.154
20154258,Piti LL,10/24/40 06:50:00 AM,Temp_C,30.255
20154258,Piti LL,10/24/40 07:00:00 AM,Temp_C,30.154
20154258,Piti LL,10/24/40 07:10:00 AM,Temp_C,30.255
20154258,Piti LL,10/24/40 07:20:00 AM,Temp_C,30.76
20154258,Piti LL,10/24/40 07:30:00 AM,Temp_C,30.862
20154258,Piti LL,10/24/40 07:40:00 AM,Temp_C,31.268
20154258,Piti LL,10/24/40 07:50:00 AM,Temp_C,31.166
20154258,Piti LL,10/24/40 08:00:00 AM,Temp_C,31.064
20154258,Piti LL,10/24/40 08:10:00 AM,Temp_C,31.37
20154258,Piti LL,10/24/40 08:20:00 AM,Temp_C,31.472
20154258,Piti LL,10/24/40 08:30:00 AM,Temp_C,31.472
20154258,Piti LL,10/24/40 08:40:00 AM,Temp_C,31.778
20154258,Piti LL,10/24/40 08:50:00 AM,Temp_C,31.88
20154258,Piti LL,10/24/40 09:00:00 AM,Temp_C,31.983
20154258,Piti LL,10/24/40 09:10:00 AM,Temp_C,31.88
20154258,Piti LL,10/24/40 09:20:00 AM,Temp_C,31.88
20154258,Piti LL,10/24/40 09:30:00 AM,Temp_C,31.983
20154258,Piti LL,10/24/40 09:40:00 AM,Temp_C,31.983
20154258,Piti LL,10/24/40 09:50:00 AM,Temp_C,31.983
20154258,Piti LL,10/24/40 10:00:00 AM,Temp_C,31.983
20154258,Piti LL,10/24/40 10:10:00 AM,Temp_C,31.88
20154258,Piti LL,10/24/40 10:20:00 AM,Temp_C,31.472
20154258,Piti LL,10/24/40 10:30:00 AM,Temp_C,31.268
20154258,Piti LL,10/24/40 10:40:00 AM,Temp_C,31.268
20154258,Piti LL,10/24/40 10:50:00 AM,Temp_C,31.166
20154258,Piti LL,10/24/40 11:00:00 AM,Temp_C,31.166
20154258,Piti LL,10/24/40 11:10:00 AM,Temp_C,31.064
20154258,Piti LL,10/24/40 11:20:00 AM,Temp_C,30.963
20154258,Piti LL,10/24/40 11:30:00 AM,Temp_C,30.862
20154258,Piti LL,10/24/40 11:40:00 AM,Temp_C,30.862
20154258,Piti LL,10/24/40 11:50:00 AM,Temp_C,30.862
20154258,Piti LL,10/24/40 12:00:00 PM,Temp_C,30.76
20154258,Piti LL,10/24/40 12:10:00 PM,Temp_C,30.76
20154258,Piti LL,10/24/40 12:20:00 PM,Temp_C,30.659
20154258,Piti LL,10/24/40 12:30:00 PM,Temp_C,30.558
20154258,Piti LL,10/24/40 12:40:00 PM,Temp_C,30.558
20154258,Piti LL,10/24/40 12:50:00 PM,Temp_C,30.457
20154258,Piti LL,10/24/40 01:00:00 PM,Temp_C,30.255
20154258,Piti LL,10/24/40 01:10:00 PM,Temp_C,30.154
20154258,Piti LL,10/24/40 01:20:00 PM,Temp_C,30.154
20154258,Piti LL,10/24/40 01:30:00 PM,Temp_C,29.953
20154258,Piti LL,10/24/40 01:40:00 PM,Temp_C,29.853
20154258,Piti LL,10/24/40 01:50:00 PM,Temp_C,29.552
20154258,Piti LL,10/24/40 02:00:00 PM,Temp_C,29.352
20154258,Piti LL,10/24/40 02:10:00 PM,Temp_C,29.352
20154258,Piti LL,10/24/40 02:20:00 PM,Temp_C,29.252
20154258,Piti LL,10/24/40 02:30:00 PM,Temp_C,29.252
20154258,Piti LL,10/24/40 02:40:00 PM,Temp_C,29.252
20154258,Piti LL,10/24/40 02:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/24/40 03:00:00 PM,Temp_C,29.152
20154258,Piti LL,10/24/40 03:10:00 PM,Temp_C,29.152
20154258,Piti LL,10/24/40 03:20:00 PM,Temp_C,29.152
20154258,Piti LL,10/24/40 03:30:00 PM,Temp_C,29.152
20154258,Piti LL,10/24/40 03:40:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 03:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/24/40 04:00:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 04:10:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 04:20:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 04:30:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 04:40:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 04:50:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 05:00:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 05:10:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 05:20:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 05:30:00 PM,Temp_C,29.053
20154258,Piti LL,10/24/40 05:40:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 05:50:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 06:00:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 06:10:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 06:20:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 06:30:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 06:40:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 06:50:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 07:00:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 07:10:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 07:20:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 07:30:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 07:40:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 07:50:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 08:00:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 08:10:00 PM,Temp_C,28.953
20154258,Piti LL,10/24/40 08:20:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 08:30:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 08:40:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 08:50:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 09:00:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 09:10:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 09:20:00 PM,Temp_C,28.754
20154258,Piti LL,10/24/40 09:30:00 PM,Temp_C,28.754
20154258,Piti LL,10/24/40 09:40:00 PM,Temp_C,28.754
20154258,Piti LL,10/24/40 09:50:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 10:00:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 10:10:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 10:20:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 10:30:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 10:40:00 PM,Temp_C,28.853
20154258,Piti LL,10/24/40 10:50:00 PM,Temp_C,28.754
20154258,Piti LL,10/24/40 11:00:00 PM,Temp_C,28.655
20154258,Piti LL,10/24/40 11:10:00 PM,Temp_C,28.555
20154258,Piti LL,10/24/40 11:20:00 PM,Temp_C,28.555
20154258,Piti LL,10/24/40 11:30:00 PM,Temp_C,28.555
20154258,Piti LL,10/24/40 11:40:00 PM,Temp_C,28.555
20154258,Piti LL,10/24/40 11:50:00 PM,Temp_C,28.555
20154258,Piti LL,10/25/40 12:00:00 AM,Temp_C,28.555
20154258,Piti LL,10/25/40 12:10:00 AM,Temp_C,28.555
20154258,Piti LL,10/25/40 12:20:00 AM,Temp_C,28.555
20154258,Piti LL,10/25/40 12:30:00 AM,Temp_C,28.555
20154258,Piti LL,10/25/40 12:40:00 AM,Temp_C,28.655
20154258,Piti LL,10/25/40 12:50:00 AM,Temp_C,28.555
20154258,Piti LL,10/25/40 01:00:00 AM,Temp_C,28.655
20154258,Piti LL,10/25/40 01:10:00 AM,Temp_C,28.754
20154258,Piti LL,10/25/40 01:20:00 AM,Temp_C,28.853
20154258,Piti LL,10/25/40 01:30:00 AM,Temp_C,28.953
20154258,Piti LL,10/25/40 01:40:00 AM,Temp_C,29.053
20154258,Piti LL,10/25/40 01:50:00 AM,Temp_C,29.152
20154258,Piti LL,10/25/40 02:00:00 AM,Temp_C,29.252
20154258,Piti LL,10/25/40 02:10:00 AM,Temp_C,29.352
20154258,Piti LL,10/25/40 02:20:00 AM,Temp_C,29.552
20154258,Piti LL,10/25/40 02:30:00 AM,Temp_C,29.652
20154258,Piti LL,10/25/40 02:40:00 AM,Temp_C,29.752
20154258,Piti LL,10/25/40 02:50:00 AM,Temp_C,29.853
20154258,Piti LL,10/25/40 03:00:00 AM,Temp_C,29.953
20154258,Piti LL,10/25/40 03:10:00 AM,Temp_C,30.054
20154258,Piti LL,10/25/40 03:20:00 AM,Temp_C,30.154
20154258,Piti LL,10/25/40 03:30:00 AM,Temp_C,30.154
20154258,Piti LL,10/25/40 03:40:00 AM,Temp_C,30.255
20154258,Piti LL,10/25/40 03:50:00 AM,Temp_C,30.255
20154258,Piti LL,10/25/40 04:00:00 AM,Temp_C,30.255
20154258,Piti LL,10/25/40 04:10:00 AM,Temp_C,30.558
20154258,Piti LL,10/25/40 04:20:00 AM,Temp_C,30.457
20154258,Piti LL,10/25/40 04:30:00 AM,Temp_C,30.255
20154258,Piti LL,10/25/40 04:40:00 AM,Temp_C,30.457
20154258,Piti LL,10/25/40 04:50:00 AM,Temp_C,30.659
20154258,Piti LL,10/25/40 05:00:00 AM,Temp_C,30.558
20154258,Piti LL,10/25/40 05:10:00 AM,Temp_C,30.76
20154258,Piti LL,10/25/40 05:20:00 AM,Temp_C,30.862
20154258,Piti LL,10/25/40 05:30:00 AM,Temp_C,30.558
20154258,Piti LL,10/25/40 05:40:00 AM,Temp_C,30.76
20154258,Piti LL,10/25/40 05:50:00 AM,Temp_C,30.76
20154258,Piti LL,10/25/40 06:00:00 AM,Temp_C,31.064
20154258,Piti LL,10/25/40 06:10:00 AM,Temp_C,31.064
20154258,Piti LL,10/25/40 06:20:00 AM,Temp_C,31.064
20154258,Piti LL,10/25/40 06:30:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 06:40:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 06:50:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 07:00:00 AM,Temp_C,30.963
20154258,Piti LL,10/25/40 07:10:00 AM,Temp_C,30.76
20154258,Piti LL,10/25/40 07:20:00 AM,Temp_C,30.963
20154258,Piti LL,10/25/40 07:30:00 AM,Temp_C,30.862
20154258,Piti LL,10/25/40 07:40:00 AM,Temp_C,30.558
20154258,Piti LL,10/25/40 07:50:00 AM,Temp_C,30.558
20154258,Piti LL,10/25/40 08:00:00 AM,Temp_C,30.76
20154258,Piti LL,10/25/40 08:10:00 AM,Temp_C,30.963
20154258,Piti LL,10/25/40 08:20:00 AM,Temp_C,30.862
20154258,Piti LL,10/25/40 08:30:00 AM,Temp_C,31.064
20154258,Piti LL,10/25/40 08:40:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 08:50:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 09:00:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 09:10:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 09:20:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 09:30:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 09:40:00 AM,Temp_C,31.472
20154258,Piti LL,10/25/40 09:50:00 AM,Temp_C,31.676
20154258,Piti LL,10/25/40 10:00:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 10:10:00 AM,Temp_C,31.268
20154258,Piti LL,10/25/40 10:20:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 10:30:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 10:40:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 10:50:00 AM,Temp_C,31.472
20154258,Piti LL,10/25/40 11:00:00 AM,Temp_C,31.574
20154258,Piti LL,10/25/40 11:10:00 AM,Temp_C,31.37
20154258,Piti LL,10/25/40 11:20:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 11:30:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 11:40:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 11:50:00 AM,Temp_C,31.166
20154258,Piti LL,10/25/40 12:00:00 PM,Temp_C,31.166
20154258,Piti LL,10/25/40 12:10:00 PM,Temp_C,31.064
20154258,Piti LL,10/25/40 12:20:00 PM,Temp_C,30.862
20154258,Piti LL,10/25/40 12:30:00 PM,Temp_C,30.862
20154258,Piti LL,10/25/40 12:40:00 PM,Temp_C,30.76
20154258,Piti LL,10/25/40 12:50:00 PM,Temp_C,30.659
20154258,Piti LL,10/25/40 01:00:00 PM,Temp_C,30.558
20154258,Piti LL,10/25/40 01:10:00 PM,Temp_C,30.457
20154258,Piti LL,10/25/40 01:20:00 PM,Temp_C,30.356
20154258,Piti LL,10/25/40 01:30:00 PM,Temp_C,30.255
20154258,Piti LL,10/25/40 01:40:00 PM,Temp_C,30.054
20154258,Piti LL,10/25/40 01:50:00 PM,Temp_C,29.853
20154258,Piti LL,10/25/40 02:00:00 PM,Temp_C,29.652
20154258,Piti LL,10/25/40 02:10:00 PM,Temp_C,29.452
20154258,Piti LL,10/25/40 02:20:00 PM,Temp_C,29.352
20154258,Piti LL,10/25/40 02:30:00 PM,Temp_C,29.352
20154258,Piti LL,10/25/40 02:40:00 PM,Temp_C,29.352
20154258,Piti LL,10/25/40 02:50:00 PM,Temp_C,29.352
20154258,Piti LL,10/25/40 03:00:00 PM,Temp_C,29.252
20154258,Piti LL,10/25/40 03:10:00 PM,Temp_C,29.252
20154258,Piti LL,10/25/40 03:20:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 03:30:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 03:40:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 03:50:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 04:00:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 04:10:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 04:20:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 04:30:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 04:40:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 04:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 05:00:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 05:10:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 05:20:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 05:30:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 05:40:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 05:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 06:00:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 06:10:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 06:20:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 06:30:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 06:40:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 06:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 07:00:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 07:10:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 07:20:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 07:30:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 07:40:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 07:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 08:00:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 08:10:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 08:20:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 08:30:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 08:40:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 08:50:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 09:00:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 09:10:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 09:20:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 09:30:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 09:40:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 09:50:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 10:00:00 PM,Temp_C,29.152
20154258,Piti LL,10/25/40 10:10:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 10:20:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 10:30:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 10:40:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 10:50:00 PM,Temp_C,29.053
20154258,Piti LL,10/25/40 11:00:00 PM,Temp_C,28.953
20154258,Piti LL,10/25/40 11:10:00 PM,Temp_C,28.953
20154258,Piti LL,10/25/40 11:20:00 PM,Temp_C,28.953
20154258,Piti LL,10/25/40 11:30:00 PM,Temp_C,28.953
20154258,Piti LL,10/25/40 11:40:00 PM,Temp_C,28.953
20154258,Piti LL,10/25/40 11:50:00 PM,Temp_C,28.953
20154258,Piti LL,10/26/40 12:00:00 AM,Temp_C,28.853
20154258,Piti LL,10/26/40 12:10:00 AM,Temp_C,28.853
20154258,Piti LL,10/26/40 12:20:00 AM,Temp_C,28.754
20154258,Piti LL,10/26/40 12:30:00 AM,Temp_C,28.754
20154258,Piti LL,10/26/40 12:40:00 AM,Temp_C,28.655
20154258,Piti LL,10/26/40 12:50:00 AM,Temp_C,28.754
20154258,Piti LL,10/26/40 01:00:00 AM,Temp_C,28.754
20154258,Piti LL,10/26/40 01:10:00 AM,Temp_C,28.853
20154258,Piti LL,10/26/40 01:20:00 AM,Temp_C,28.853
20154258,Piti LL,10/26/40 01:30:00 AM,Temp_C,28.953
20154258,Piti LL,10/26/40 01:40:00 AM,Temp_C,29.053
20154258,Piti LL,10/26/40 01:50:00 AM,Temp_C,29.053
20154258,Piti LL,10/26/40 02:00:00 AM,Temp_C,29.152
20154258,Piti LL,10/26/40 02:10:00 AM,Temp_C,29.352
20154258,Piti LL,10/26/40 02:20:00 AM,Temp_C,29.452
20154258,Piti LL,10/26/40 02:30:00 AM,Temp_C,29.652
20154258,Piti LL,10/26/40 02:40:00 AM,Temp_C,29.752
20154258,Piti LL,10/26/40 02:50:00 AM,Temp_C,29.853
20154258,Piti LL,10/26/40 03:00:00 AM,Temp_C,29.752
20154258,Piti LL,10/26/40 03:10:00 AM,Temp_C,29.652
20154258,Piti LL,10/26/40 03:20:00 AM,Temp_C,30.054
20154258,Piti LL,10/26/40 03:30:00 AM,Temp_C,29.953
20154258,Piti LL,10/26/40 03:40:00 AM,Temp_C,30.255
20154258,Piti LL,10/26/40 03:50:00 AM,Temp_C,30.255
20154258,Piti LL,10/26/40 04:00:00 AM,Temp_C,30.457
20154258,Piti LL,10/26/40 04:10:00 AM,Temp_C,30.457
20154258,Piti LL,10/26/40 04:20:00 AM,Temp_C,30.659
20154258,Piti LL,10/26/40 04:30:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 04:40:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 04:50:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 05:00:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 05:10:00 AM,Temp_C,30.963
20154258,Piti LL,10/26/40 05:20:00 AM,Temp_C,31.166
20154258,Piti LL,10/26/40 05:30:00 AM,Temp_C,31.064
20154258,Piti LL,10/26/40 05:40:00 AM,Temp_C,31.166
20154258,Piti LL,10/26/40 05:50:00 AM,Temp_C,31.166
20154258,Piti LL,10/26/40 06:00:00 AM,Temp_C,30.963
20154258,Piti LL,10/26/40 06:10:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 06:20:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 06:30:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 06:40:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 06:50:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 07:00:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 07:10:00 AM,Temp_C,30.659
20154258,Piti LL,10/26/40 07:20:00 AM,Temp_C,30.659
20154258,Piti LL,10/26/40 07:30:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 07:40:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 07:50:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 08:00:00 AM,Temp_C,30.76
20154258,Piti LL,10/26/40 08:10:00 AM,Temp_C,30.963
20154258,Piti LL,10/26/40 08:20:00 AM,Temp_C,30.963
20154258,Piti LL,10/26/40 08:30:00 AM,Temp_C,30.963
20154258,Piti LL,10/26/40 08:40:00 AM,Temp_C,31.064
20154258,Piti LL,10/26/40 08:50:00 AM,Temp_C,30.963
20154258,Piti LL,10/26/40 09:00:00 AM,Temp_C,31.064
20154258,Piti LL,10/26/40 09:10:00 AM,Temp_C,31.166
20154258,Piti LL,10/26/40 09:20:00 AM,Temp_C,31.268
20154258,Piti LL,10/26/40 09:30:00 AM,Temp_C,31.37
20154258,Piti LL,10/26/40 09:40:00 AM,Temp_C,31.472
20154258,Piti LL,10/26/40 09:50:00 AM,Temp_C,31.472
20154258,Piti LL,10/26/40 10:00:00 AM,Temp_C,31.676
20154258,Piti LL,10/26/40 10:10:00 AM,Temp_C,31.676
20154258,Piti LL,10/26/40 10:20:00 AM,Temp_C,31.778
20154258,Piti LL,10/26/40 10:30:00 AM,Temp_C,31.983
20154258,Piti LL,10/26/40 10:40:00 AM,Temp_C,31.778
20154258,Piti LL,10/26/40 10:50:00 AM,Temp_C,31.778
20154258,Piti LL,10/26/40 11:00:00 AM,Temp_C,31.778
20154258,Piti LL,10/26/40 11:10:00 AM,Temp_C,31.268
20154258,Piti LL,10/26/40 11:20:00 AM,Temp_C,31.268
20154258,Piti LL,10/26/40 11:30:00 AM,Temp_C,31.166
20154258,Piti LL,10/26/40 11:40:00 AM,Temp_C,31.166
20154258,Piti LL,10/26/40 11:50:00 AM,Temp_C,30.862
20154258,Piti LL,10/26/40 12:00:00 PM,Temp_C,30.76
20154258,Piti LL,10/26/40 12:10:00 PM,Temp_C,30.659
20154258,Piti LL,10/26/40 12:20:00 PM,Temp_C,30.659
20154258,Piti LL,10/26/40 12:30:00 PM,Temp_C,30.659
20154258,Piti LL,10/26/40 12:40:00 PM,Temp_C,30.457
20154258,Piti LL,10/26/40 12:50:00 PM,Temp_C,30.457
20154258,Piti LL,10/26/40 01:00:00 PM,Temp_C,30.356
20154258,Piti LL,10/26/40 01:10:00 PM,Temp_C,30.356
20154258,Piti LL,10/26/40 01:20:00 PM,Temp_C,30.154
20154258,Piti LL,10/26/40 01:30:00 PM,Temp_C,30.154
20154258,Piti LL,10/26/40 01:40:00 PM,Temp_C,29.953
20154258,Piti LL,10/26/40 01:50:00 PM,Temp_C,29.853
20154258,Piti LL,10/26/40 02:00:00 PM,Temp_C,29.853
20154258,Piti LL,10/26/40 02:10:00 PM,Temp_C,29.752
20154258,Piti LL,10/26/40 02:20:00 PM,Temp_C,29.752
20154258,Piti LL,10/26/40 02:30:00 PM,Temp_C,29.752
20154258,Piti LL,10/26/40 02:40:00 PM,Temp_C,29.752
20154258,Piti LL,10/26/40 02:50:00 PM,Temp_C,29.752
20154258,Piti LL,10/26/40 03:00:00 PM,Temp_C,29.652
20154258,Piti LL,10/26/40 03:10:00 PM,Temp_C,29.652
20154258,Piti LL,10/26/40 03:20:00 PM,Temp_C,29.652
20154258,Piti LL,10/26/40 03:30:00 PM,Temp_C,29.652
20154258,Piti LL,10/26/40 03:40:00 PM,Temp_C,29.752
20154258,Piti LL,10/26/40 03:50:00 PM,Temp_C,29.652
20154258,Piti LL,10/26/40 04:00:00 PM,Temp_C,29.652
20154258,Piti LL,10/26/40 04:10:00 PM,Temp_C,29.552
20154258,Piti LL,10/26/40 04:20:00 PM,Temp_C,29.552
20154258,Piti LL,10/26/40 04:30:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 04:40:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 04:50:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 05:00:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 05:10:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 05:20:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 05:30:00 PM,Temp_C,29.452
20154258,Piti LL,10/26/40 05:40:00 PM,Temp_C,29.352
20154258,Piti LL,10/26/40 05:50:00 PM,Temp_C,29.352
20154258,Piti LL,10/26/40 06:00:00 PM,Temp_C,29.352
20154258,Piti LL,10/26/40 06:10:00 PM,Temp_C,29.352
20154258,Piti LL,10/26/40 06:20:00 PM,Temp_C,29.352
20154258,Piti LL,10/26/40 06:30:00 PM,Temp_C,29.352
